STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_SQMILES,DURATION_MINUTES,MONTH
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,CASS,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,CASS,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,CASS,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,JOHNSON,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,OTOE,,0.0,0,7
NEBRASKA,JULY,Flash Flood,SEWARD,0.0,0.000216200071789932,0,7
NEBRASKA,JULY,Flood,DOUGLAS,0.0,0.0,0,7
NEBRASKA,JULY,Hail,KNOX,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,BUTLER,,0.0,0,7
NEBRASKA,JULY,Flood,DOUGLAS,0.0,0.00035820133591155334,0,7
NEBRASKA,JULY,Hail,KNOX,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,PAWNEE,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,JEFFERSON,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,RICHARDSON,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
NEBRASKA,JULY,Hail,KNOX,,0.0,0,7
NEBRASKA,JULY,Hail,KNOX,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,KNOX,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,CASS,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,CASS,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,CASS,,0.0,0,7
NEBRASKA,JULY,Flash Flood,SEWARD,0.0,0.0002882667623926883,45,7
NEBRASKA,JULY,Hail,KNOX,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,KNOX,,0.0,0,7
