FIPS,POPULATION
36107,48106
36109,102879
36111,182109
36113,65560
36115,60883
36117,91128
36119,996888
36121,39980
36123,24637
37001,174286
37003,36440
37005,11075
37007,21903
37009,26831
37011,17643
37013,44597
37015,17482
37017,29591
37019,145889
37021,271790
37023,87863
37025,231262
37027,80618
37029,10743
37031,68652
37033,22689
37035,162051
37037,78319
37039,29197
37041,13814
37043,11391
37045,100170
37047,50453
37049,101074
37051,336749
37053,29612
37055,37534
37057,171063
37059,43526
37061,49053
37063,329405
37065,48777
37067,386740
37069,71962
37071,231485
37073,10437
37075,8041
37077,61439
37079,20421
37081,542987
37083,48219
37085,136503
37087,62432
37089,117387
37091,20492
37093,53102
37095,4625
37097,191800
37099,43089
37101,226623
37103,9245
37105,64565
37107,54917
37109,90359
37111,44679
37113,37533
37115,21640
37117,21773
37119,1130906
37121,14973
37123,25874
37125,102840
37127,95451
37129,231214
37131,17212
37133,208537
37135,147292
37137,12315
37139,40830
37141,63475
37143,13146
37145,39275
37147,172279
37149,19689
37151,145322
37153,42818
37155,116858
37157,91585
37159,148487
37161,64850
37163,59245
37165,34353
37167,63557
37169,44889
37171,71407
37173,14065
37175,33243
37177,3376
37179,244975
37181,42361
37183,1151009
37185,18751
37187,10905
37189,54607
37191,117606
37193,65983
37195,78648
37197,37419
37199,18676
38001,2179
38003,10794
38005,5861
38007,948
38009,6390
38011,2935
38013,2163
38015,98986
38017,189286
38019,3663
38021,4959
38023,2174
38025,4043
38027,2319
38029,3269
38031,3372
38033,1679
38035,72764
38037,2276
38039,2340
38041,2453
38043,2374
38045,4107
38047,1848
38049,5264
38051,2512
38053,14280
38055,9807
38057,8341
38059,33479
38061,9567
38063,3015
38065,1821
38067,6787
38069,3961
38071,11563
38073,5662
38075,2277
38077,16550
38079,12065
38081,3822
38083,1327
38085,3789
38087,795
38089,33116
38091,1731
38093,21525
38095,2113
38097,7980
38099,10488
38101,69232
38103,3942
38105,39368
39001,27510
39003,101685
39005,52296
39007,97343
39009,61573
39011,46209
39013,65982
39015,43710
39017,389910
39019,26731
39021,38772
39023,135445
39025,209862
39027,42014
39029,101203
39031,36679
39033,41767
39035,1249418
39037,51655
39039,38258
39041,221160
39043,74938
39045,161289
39047,28880
39049,1321635
39051,42434
39053,29162
39055,95479
39057,168531
39059,38283
39061,827878
39063,74885
39065,30527
39067,14408
39069,27581
39071,43403
39073,27938
39075,44312
39077,58412
39079,32588
39081,64855
39083,62888
39085,232101
39087,57385
39089,180311
39091,46140
39093,314588
39095,428748
39097,44126
39099,227063
39101,65145
39103,183049
39105,22072
39107,42438
39109,109549
39111,13308
39113,535528
39115,13758
39117,35214
39119,86382
39121,14252
39123,40161
39125,18800
39127,35474
39129,59407
39131,27080
39133,161421
39135,40802
39137,34352
39139,125138
39141,76748
39143,58770
39145,73118
39147,54861
39149,48007
39151,373764
39153,538087
39155,201367
39157,92585
39159,65293
39161,28824
39163,12686
39165,246364
39167,59318
39169,116618
39171,36862
39173,131795
39175,21699
40001,19595
40003,5685
40005,14255
40007,5041
40009,22202
40011,8603
40013,47237
40015,26626
40017,162621
40019,48255
40021,47621
40023,14299
40025,2247
40027,297545
40029,5275
40031,121699
40033,5475
40035,14215
40037,72353
40039,28332
40041,41017
40043,4433
40045,3717
40047,62322
40049,25779
40051,55868
40053,4137
40055,5498
40057,2452
40059,3231
40061,11667
40063,13411
40065,24730
40067,5377
40069,10334
40071,43731
40073,15288
40075,8458
40077,9495
40079,48728
40081,33917
40083,50905
40085,10196
40087,43779
40089,30825
40091,19237
40093,7656
40095,15628
40097,39406
40099,13807
40101,66471
40103,10909
40105,9392
40107,11304
40109,800487
40111,36922
40113,45963
40115,30360
40117,15689
40119,82290
40121,43629
40123,38158
40125,73011
40127,10787
40129,3378
40131,97235
40133,23550
40135,39676
40137,43314
40139,20880
40141,6967
40143,673708
40145,84339
40147,52895
40149,10857
40151,8619
40153,20260
41001,16796
41003,96359
41005,422308
41007,41343
41009,53178
41011,64832
41013,25651
41015,23463
41017,203026
41019,111807
41021,2002
41023,7238
41025,7515
41027,23958
41029,222563
41031,24973
41033,88069
41035,69812
41037,8254
41039,382628
41041,50632
41043,129794
41045,31701
41047,346532
41049,12249
41051,803863
41053,88553
41055,1908
41057,27471
41059,80087
41061,26192
41063,7532
41065,26603
41067,600266
41069,1434
41071,108122
42001,105183
42003,1240476
42005,65069
42007,166993
42009,47503
42011,429989
42013,121854
42015,59971
42017,645993
42019,195870
42021,132355
42023,4475
42025,65191
42027,158041
42029,540896
42031,37297
42033,78902
42035,37707
42037,65055
42039,83189
42041,264422
42043,287484
42045,576195
42047,30703
42049,269544
42051,126967
42053,6785
42055,156626
42057,14545
42059,35265
42061,43844
42063,83213
42065,44099
42067,23419
42069,215834
42071,555151
42073,85423
42075,143592
42077,375408
42079,325978
42081,113570
42083,40149
42085,109852
42087,46074
42089,167784
42091,861225
42093,18079
42095,315927
42097,90925
42099,45988
42101,1582432
42103,59691
42105,16276
42107,143259
42109,39711
42111,73255
42113,5849
42115,38349
42117,41078
42119,42570
42121,50096
42123,38174
42125,209778
42127,51189
42129,353345
42131,26075
42133,459312
44001,50568
44003,170658
44005,85095
44007,658977
44009,130073
45001,24352
45003,171949
