FIPS,MEDIAN_INCOME
38001,55417
38003,70230
38005,68049
38007,81250
38009,83460
38011,83773
38013,96339
38015,84948
38017,75023
38019,67064
38021,63125
38023,89297
38025,94688
38027,55389
38029,67368
38031,83412
38033,76528
38035,68450
38037,56750
38039,64737
38041,70827
38043,61850
38045,70263
38047,61339
38049,80614
38051,64236
38053,88289
38055,81847
38057,79405
38059,79483
38061,81292
38063,68051
38065,76953
38067,66884
38069,63214
38071,61319
38073,74521
38075,76311
38077,72524
38079,57355
38081,77697
38083,67361
38085,41676
38087,62500
38089,80744
38091,80313
38093,60172
38095,63017
38097,88289
38099,69976
38101,79273
38103,61346
38105,90224
39001,49521
39003,62001
39005,64991
39007,55507
39009,53837
39011,76454
39013,58411
39015,69990
39017,81194
39019,64675
39021,74239
39023,60846
39025,83178
39027,68125
39029,58474
39031,54687
39033,55477
39035,62823
39037,64654
39039,73615
39041,130088
39043,68431
39045,87069
39047,60047
39049,73795
39051,72866
39053,56455
39055,100783
39057,85218
39059,55756
39061,70816
39063,69699
39065,58001
39067,53851
39069,79267
39071,62008
39073,61366
39075,74774
39077,65972
39079,58409
39081,56983
39083,73988
39085,77952
39087,54842
39089,81033
39091,69183
39093,70693
39095,60095
39097,83229
39099,55576
39101,57306
39103,92660
39105,46701
39107,78036
39109,74175
39111,58962
39113,64403
39115,55971
39117,71047
39119,59203
39121,55360
39123,75728
39125,68167
39127,64737
39129,72927
39131,49552
39133,72822
39135,71237
39137,82785
39139,57649
39141,59819
39143,62500
39145,49571
39147,65020
39149,72822
39151,65740
39153,71016
39155,55088
39157,64494
39159,109506
39161,65344
39163,53813
39165,107843
39167,61355
39169,71769
39171,61834
39173,73124
39175,71878
40001,48028
40003,67870
40005,52034
40007,64266
40009,52323
40011,59304
40013,54280
40015,52817
40017,85427
40019,58856
40021,53668
40023,45456
40025,57204
40027,74446
40029,48162
40031,59000
40033,60313
40035,50182
40037,61849
40039,57562
40041,55114
40043,60550
40045,56992
40047,67302
40049,57127
40051,75730
40053,61824
40055,60183
40057,54286
40059,59191
40061,49930
40063,47923
40065,61497
40067,48750
40069,50911
40071,56673
40073,70617
40075,42063
40077,41048
40079,50027
40081,59425
40083,82735
40085,62940
40087,84778
40089,50175
40091,46203
40093,69229
40095,56495
40097,57279
40099,61904
40101,51999
40103,70071
40105,52679
40107,45441
40109,65374
40111,53123
40113,60482
40115,48656
40117,57551
40119,48937
40121,54787
40123,62564
40125,60828
40127,44634
40129,62721
40131,77688
40133,46191
40135,49795
40137,60236
40139,59275
40141,47445
40143,67317
40145,78520
40147,61205
40149,61980
40151,50512
40153,65060
41001,57844
41003,76011
41005,100360
41007,68705
41009,86359
41011,60313
41013,81675
41015,64769
41017,87640
41019,58983
41021,64219
41023,59800
41025,48338
41027,82095
41029,71443
41031,73051
41033,59097
41035,59353
41037,61222
41039,69311
41041,61314
41043,73396
41045,49902
41047,74624
41049,70217
41051,86247
41053,81318
41055,59500
41057,66551
41059,68958
41061,64212
41063,65559
41065,63602
41067,104434
41069,51250
41071,87084
42001,81071
42003,76393
42005,64295
42007,70156
42009,60302
42011,77684
42013,60594
42015,62482
42017,111951
42019,86775
42021,56292
42023,47681
42025,67877
42027,72748
42029,123041
42031,60668
42033,60181
42035,58842
42037,61992
42039,60254
42041,85634
42043,74159
42045,88576
42047,64103
42049,61476
42051,56093
42053,50061
42055,74946
42057,64798
42059,66870
42061,65429
42063,58739
42065,56898
42067,63923
42069,64691
42071,83703
42073,60779
42075,76350
42077,77493
42079,62321
42081,64412
42083,61705
42085,60614
42087,61415
42089,82374
42091,111521
42093,72926
42095,86687
42097,57948
42099,78824
42101,60698
42103,79318
42105,59840
42107,66901
42109,68435
42111,59378
42113,64758
42115,66930
42117,62932
42119,72894
42121,61626
42123,59013
42125,77487
42127,62182
42129,72468
42131,70268
42133,82238
44001,110926
44003,91278
44005,100859
44007,78204
